car_name,type
smart-smart fortwo,微型车
众泰汽车-江南TT,微型车
北汽新能源-北汽EC180,微型车
长安乘用车-奔奔,微型车
众泰汽车-众泰E200,微型车
smart-smart forfour,微型车
比亚迪汽车-比亚迪F0,微型车
长安铃木-奥拓,微型车
奇瑞汽车-奇瑞eQ,微型车
知豆电动车-知豆D2,微型车
长安乘用车-奔奔EV,微型车
宝骏汽车-乐驰,微型车
car_name,price,type
smart-smart fortwo,,微型车
长安乘用车-奔奔,,微型车
smart-smart forfour,,微型车
众泰汽车-江南TT,,微型车
众泰汽车-众泰E200,,微型车
北汽新能源-北汽EC180,,微型车
长安乘用车-奔奔EV,,微型车
比亚迪汽车-比亚迪F0,,微型车
长安铃木-奥拓,,微型车
知豆电动车-知豆D2,,微型车
奇瑞汽车-奇瑞eQ,,微型车
宝骏汽车-乐驰,,微型车
car_name,price,type
宝骏汽车-乐驰,123,微型车
smart-smart fortwo,123,微型车
smart-smart forfour,123,微型车
长安乘用车-奔奔EV,123,微型车
长安乘用车-奔奔,123,微型车
知豆电动车-知豆D2,123,微型车
众泰汽车-江南TT,123,微型车
北汽新能源-北汽EC180,123,微型车
众泰汽车-众泰E200,123,微型车
比亚迪汽车-比亚迪F0,123,微型车
长安铃木-奥拓,123,微型车
奇瑞汽车-奇瑞eQ,123,微型车
